,月份區域別,month,count,year
50,觀音鄉,四月,18,103
51,復興鄉,四月,6,103
52,桃園市,五月,342,103
53,中壢市,五月,348,103
54,平鎮市,五月,178,103
55,八德市,五月,161,103
56,楊梅市,五月,122,103
57,大溪鎮,五月,65,103
58,蘆竹市,五月,116,103
59,大園鄉,五月,65,103
60,龜山鄉,五月,151,103
61,龍潭鄉,五月,80,103
62,新屋鄉,五月,31,103
63,觀音鄉,五月,52,103
64,復興鄉,五月,8,103
65,桃園市,六月,226,103
66,中壢市,六月,248,103
67,平鎮市,六月,133,103
68,八德市,六月,102,103
69,楊梅市,六月,93,103
70,大溪鎮,六月,58,103
71,蘆竹市,六月,78,103
72,大園鄉,六月,46,103
73,龜山鄉,六月,80,103
74,龍潭鄉,六月,59,103
75,新屋鄉,六月,22,103
76,觀音鄉,六月,34,103
77,復興鄉,六月,14,103
78,桃園市,七月,180,103
79,中壢市,七月,176,103
80,平鎮市,七月,116,103
81,八德市,七月,96,103
82,楊梅市,七月,75,103
83,大溪鎮,七月,32,103
84,蘆竹市,七月,49,103
85,大園鄉,七月,35,103
86,龜山鄉,七月,57,103
87,龍潭鄉,七月,49,103
88,新屋鄉,七月,22,103
89,觀音鄉,七月,21,103
90,復興鄉,七月,6,103
91,桃園市,八月,102,103
92,中壢市,八月,134,103
93,平鎮市,八月,70,103
94,八德市,八月,59,103
95,楊梅市,八月,49,103
96,大溪鎮,八月,14,103
97,蘆竹市,八月,52,103
98,大園鄉,八月,19,103
99,龜山鄉,八月,38,103
100,龍潭鄉,八月,33,103
101,新屋鄉,八月,7,103
102,觀音鄉,八月,17,103
103,復興鄉,八月,7,103
104,桃園市,九月,264,103
105,中壢市,九月,258,103
106,平鎮市,九月,149,103
107,八德市,九月,125,103
108,楊梅市,九月,111,103
109,大溪鎮,九月,58,103
110,蘆竹市,九月,88,103
111,大園鄉,九月,43,103
112,龜山鄉,九月,103,103
113,龍潭鄉,九月,63,103
114,新屋鄉,九月,23,103
115,觀音鄉,九月,32,103
116,復興鄉,九月,7,103
117,桃園市,十月,215,103
118,中壢市,十月,224,103
119,平鎮市,十月,120,103
120,八德市,十月,99,103
121,楊梅市,十月,93,103
122,大溪鎮,十月,42,103
123,蘆竹市,十月,86,103
124,大園鄉,十月,34,103
125,龜山鄉,十月,81,103
126,龍潭鄉,十月,73,103
127,新屋鄉,十月,28,103
128,觀音鄉,十月,37,103
129,復興鄉,十月,7,103
130,桃園市,十一月,207,103
131,中壢市,十一月,181,103
132,平鎮市,十一月,110,103
133,八德市,十一月,84,103
134,楊梅市,十一月,73,103
135,大溪鎮,十一月,45,103
136,蘆竹市,十一月,76,103
137,大園鄉,十一月,42,103
138,龜山鄉,十一月,59,103
139,龍潭鄉,十一月,54,103
140,新屋鄉,十一月,21,103
141,觀音鄉,十一月,22,103
142,復興鄉,十一月,2,103
143,桃園市,十二月,298,103
144,中壢市,十二月,311,103
145,平鎮市,十二月,169,103
146,八德市,十二月,165,103
147,楊梅市,十二月,125,103
148,大溪鎮,十二月,48,103
149,蘆竹市,十二月,110,103
150,大園鄉,十二月,51,103
151,龜山鄉,十二月,131,103
152,龍潭鄉,十二月,64,103
153,新屋鄉,十二月,23,103
154,觀音鄉,十二月,47,103
155,復興鄉,十二月,8,103
0,桃園區,一月,275,104
1,中壢區,一月,286,104
2,大溪區,一月,62,104
3,楊梅區,一月,129,104
4,蘆竹區,一月,117,104
5,大園區,一月,61,104
6,龜山區,一月,104,104
7,八德區,一月,131,104
8,龍潭區,一月,80,104
9,平鎮區,一月,174,104
10,新屋區,一月,29,104
11,觀音區,一月,35,104
12,復興區,一月,4,104
13,桃園區,二月,190,104
14,中壢區,二月,196,104
15,大溪區,二月,40,104
16,楊梅區,二月,73,104
17,蘆竹區,二月,82,104
18,大園區,二月,36,104
19,龜山區,二月,70,104
20,八德區,二月,87,104
21,龍潭區,二月,51,104
22,平鎮區,二月,125,104
23,新屋區,二月,25,104
24,觀音區,二月,33,104
25,復興區,二月,7,104
26,桃園區,三月,245,104
27,中壢區,三月,231,104
28,大溪區,三月,50,104
29,楊梅區,三月,91,104
30,蘆竹區,三月,110,104
31,大園區,三月,48,104
32,龜山區,三月,83,104
33,八德區,三月,119,104
34,龍潭區,三月,76,104
35,平鎮區,三月,142,104
36,新屋區,三月,20,104
37,觀音區,三月,44,104
38,復興區,三月,1,104
39,桃園區,四月,188,104
40,中壢區,四月,188,104
41,大溪區,四月,35,104
42,楊梅區,四月,76,104
43,蘆竹區,四月,77,104
44,大園區,四月,38,104
45,龜山區,四月,85,104
46,八德區,四月,88,104
47,龍潭區,四月,51,104
48,平鎮區,四月,109,104
49,新屋區,四月,22,104
50,觀音區,四月,30,104
51,復興區,四月,4,104
52,桃園區,五月,384,104
53,中壢區,五月,344,104
54,大溪區,五月,75,104
