月份區域別,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月
桃園市,336,125,247,200,324,148,198,99,250,239,326,296
中壢市,281,125,227,163,331,158,220,118,246,279,272,243
平鎮市,159,73,113,106,148,112,112,60,124,136,152,170
八德市,145,60,104,100,160,72,100,51,110,125,113,122
楊梅市,113,38,97,61,109,59,67,42,108,116,115,83
大溪鎮,66,28,57,49,58,35,51,23,49,57,42,49
蘆竹鄉,96,62,81,91,103,61,74,57,76,78,102,105
大園鄉,68,30,49,31,55,32,43,19,53,44,51,49
龜山鄉,108,57,80,61,119,61,76,42,103,114,101,93
龍潭鄉,72,34,63,65,77,40,49,31,69,45,91,81
新屋鄉,30,9,19,10,21,20,16,8,17,28,30,24
觀音鄉,43,14,29,35,40,27,30,18,33,31,35,40
復興鄉,11,5,10,4,8,9,8,4,5,6,5,5
