月份區域別,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月
桃園市,316,188,239,173,342,226,180,102,264,215,207,298
中壢市,270,151,219,189,348,248,176,134,258,224,181,311
平鎮市,149,85,118,103,178,133,116,70,149,120,110,169
八德市,140,90,106,97,161,102,96,59,125,99,84,165
楊梅市,113,69,74,71,122,93,75,49,111,93,73,125
大溪鎮,66,33,58,28,65,58,32,14,58,42,45,48
蘆竹市,124,60,98,67,116,78,49,52,88,86,76,110
大園鄉,66,35,40,37,65,46,35,19,43,34,42,51
龜山鄉,103,50,82,76,151,80,57,38,103,81,59,131
龍潭鄉,90,46,63,43,80,59,49,33,63,73,54,64
新屋鄉,31,12,20,12,31,22,22,7,23,28,21,23
觀音鄉,43,12,20,18,52,34,21,17,32,37,22,47
復興鄉,12,5,7,6,8,14,6,7,7,7,2,8
